Word,Meaning
library,도서관
character,성격
midnight,밤 열두시
story,이야기
rumor,소문
old,오래된
stand,서 있다
enchant,마법을 걸다
small,작은
town,마을
each other,서로서로
whisper,속삭이다
inside,안에
every,모든
life,삶
evening,저녁
curious,호기심 많은
bring,가져오다
decide,결정하다
into,안으로
sneak,몰래 가다
see,보다
true,사실인
strike,치다
rustle,바스락거리다
amazement,놀라움
step out,나가다
begin,시작하다
meet,만나다
even,심지어
pirate,해적
treasure,보물
island,섬
invite,초대하다
join,참여하다
council,회의
discuss,논의하다
tale,이야기
adventure,모험
wisdom,지혜
contain,포함하다
spend,(시간을)보내다
whole,전체의
listen,듣다
learn,배우다
promise,약속하다
keep,유지하다
secret,비밀
dawn,새벽
approach,다가오다
return,돌아가다
leave,떠나다
inspire,영감을 주다
fill with,~로 가득차다
change,바꾸다
magic,마법
